epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8665,0.67388,2.20693,0.87936,0.00333,1,0.31389,0.26608,0.50866,3.05528,0.8218,0.00065,0.00065,0.00065
2,22.5183,0.64447,1.14485,0.86107,0.97754,0.8704,0.96533,0.82155,0.58674,1.94755,0.85425,0.00127322,0.00127322,0.00127322
3,31.8432,0.64737,0.93875,0.85867,0.97979,1,0.97931,0.82975,0.61575,0.81513,0.85324,0.00185243,0.00185243,0.00185243
4,40.3781,0.62925,0.81488,0.86879,0.95145,0.97984,0.98034,0.85673,0.53816,0.64164,0.84241,0.001802,0.001802,0.001802
5,49.0189,0.57268,0.67768,0.8489,0.95905,1,0.97822,0.85794,0.46617,0.84143,0.81181,0.001736,0.001736,0.001736
6,57.6308,0.54977,0.61725,0.84381,0.97904,0.99,0.97616,0.88681,0.42159,0.51003,0.80363,0.00167,0.00167,0.00167
7,66.4793,0.53768,0.55634,0.83816,0.9689,0.99,0.97603,0.87679,0.46859,0.46603,0.81594,0.001604,0.001604,0.001604
8,75.0831,0.52977,0.50747,0.84066,0.96741,0.99,0.97395,0.88818,0.42704,0.41123,0.80716,0.001538,0.001538,0.001538
9,83.6018,0.50231,0.49664,0.84299,0.97926,0.99,0.98448,0.90349,0.41737,0.38947,0.80924,0.001472,0.001472,0.001472
10,92.1667,0.5016,0.46394,0.83757,0.97712,0.99,0.98095,0.88261,0.43552,0.41367,0.80432,0.001406,0.001406,0.001406
11,100.766,0.47999,0.44142,0.82724,0.95965,0.99,0.98116,0.91234,0.38005,0.37572,0.79412,0.00134,0.00134,0.00134
12,109.456,0.46926,0.42874,0.82439,0.97898,1,0.97549,0.93054,0.31424,0.3168,0.78904,0.001274,0.001274,0.001274
13,118.019,0.44191,0.4099,0.81725,0.97715,1,0.97618,0.91766,0.34744,0.34806,0.79158,0.001208,0.001208,0.001208
14,126.559,0.43651,0.39893,0.82348,0.97819,1,0.98584,0.92809,0.3331,0.31056,0.78744,0.001142,0.001142,0.001142
15,135.218,0.44397,0.38412,0.81822,0.9785,0.99,0.97631,0.92157,0.35584,0.32085,0.79178,0.001076,0.001076,0.001076
16,143.747,0.44291,0.36964,0.82103,0.97873,1,0.98069,0.92864,0.31544,0.29521,0.78228,0.00101,0.00101,0.00101
17,152.282,0.40814,0.35416,0.81602,0.97061,1,0.97559,0.92399,0.30813,0.28837,0.78568,0.000944,0.000944,0.000944
18,160.732,0.37518,0.3325,0.80663,0.97087,0.9997,0.9752,0.9339,0.31043,0.29285,0.78414,0.000878,0.000878,0.000878
19,169.346,0.38014,0.32969,0.80256,0.97346,1,0.97637,0.93558,0.29937,0.27569,0.78209,0.000812,0.000812,0.000812
20,178.002,0.38579,0.33208,0.81157,0.97697,0.99,0.98273,0.93042,0.32336,0.27751,0.78082,0.000746,0.000746,0.000746
